OID_,tl_2019_26_bg_GEOID,MEAN_PM25_AVG,FID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,OBJECTID,Total,Less_than__10_000,F_10_000_to__14_999,F_15_000_to__19_999,F_20_000_to__24_999,F_25_000_to__29_999,F_30_000_to__34_999,F_35_000_to__39_999,F_40_000_to__44_999,F_45_000_to__49_999,F_50_000_to__59_999,F_60_000_to__74_999,F_75_000_to__99_999,F_100_000_to__124_999,F_125_000_to__149_999,F_150_000_to__199_999,F_200_000_or_more,GEO_ID,OBJECTID_1,Total_,No_schooling_completed,Nursery_school,Kindergarten,F1st_grade,F2nd_grade,F3rd_grade,F4th_grade,F5th_grade,F6th_grade,F7th_grade,F8th_grade,F9th_grade,F10th_grade,F11th_grade,F12th_grade__no_diploma,Regular_high_school_diploma,GED_or_alternative_credential,Some_college__less_than_1_year,Some_college__1_or_more_years__no_degree,Associate_s_degree,Bachelor_s_degree,Master_s_degree,Professional_school_degree,Doctorate_degree,GEO_ID_1,OBJECTID_12,Total1,Not_Hispanic_or_Latino,Hispanic_or_Latino,GEO_ID_12,OBJECTID_12_13,Total1_1,White_alone,Black_or_African_American_alone,American_Indian_and_Alaska_Native_alone,Asian_alone,Native_Hawaiian_and_Other_Pacific_Islander_alone,Some_other_race_alone,Two_or_more_races_,Two_races_including_Some_other_race,Two_races_excluding_Some_other_race__and_three_or_more_races,GEO_ID_12_13,OBJECTID_12_13_14,Median_age,Median_age___Male,Median_age___Female,GEO_ID_12_13_14,OBJECTID_12_13_14_15,Estimate__Total,GEO_ID_12_13_14_15,OBJECTID_12_13_14_15_16,GEOID_1,area1,percent1,area4,percent4,OBJECTID_12_13_14_15_16_17,tl_2019_26_bg_GEOID_1,MEAN_gridcode,Shape_Length_1,Shape_Area_1,Shape_Length,Shape_Area
1,2.61635E+11,7.516025833,837,26,163,500100,1,261635001001.00,Block Group 1,G5030,S,474566,0,42.4482488,-82.9498174,1,563,9,19,20,56,11,78,93,53,39,57,74,33,11,0,0,10,2.61635E+11,,879,13,0,0,0,0,0,0,0,0,0,0,0,0,56,62,229,24,97,199,97,44,48,0,10,,,,1123,0,,,,130,993,0,0,0,0,0,0,0,,,40,37.7,40.4,,,1123,,,,95915.9695,20.21129335,10376.92563,2.186612814,,,13513768.29,,,0.03685983,5.19313E-05
2,2.61635E+11,7.516025833,360,26,163,500100,2,261635001002.00,Block Group 2,G5030,S,290456,0,42.443593,-82.9487847,2,348,70,17,10,12,0,44,52,0,0,38,0,24,22,15,44,0,2.61635E+11,,565,0,0,0,0,0,0,0,0,0,0,0,10,0,35,0,111,24,60,106,84,83,52,0,0,,,,897,15,,,,58,824,0,0,0,0,30,0,30,,,31.4,27.2,36.4,,,912,,,,93991.10992,32.35977094,19896.01965,6.849909945,,,6656572.714,,,0.025927666,3.1782E-05
3,2.61635E+11,7.516025833,361,26,163,500100,3,261635001003.00,Block Group 3,G5030,S,230980,0,42.4384492,-82.9535008,3,248,0,0,8,23,20,64,22,0,11,34,56,10,0,0,0,0,2.61635E+11,,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,20,0,100,57,10,0,0,0,,,,465,0,,,,18,437,0,0,0,0,10,0,10,,,31.5,31.3,48.7,,,465,,,,90344.6268,39.11365666,9437.443556,4.085831555,,,5851923,,,0.020249286,2.5272E-05
4,2.61635E+11,7.516025833,362,26,163,500100,4,261635001004.00,Block Group 4,G5030,S,206376,0,42.4433528,-82.9535775,4,279,8,11,20,38,0,50,31,9,24,47,41,0,0,0,0,0,2.61635E+11,,539,0,0,0,0,0,0,0,0,0,0,0,0,20,30,37,116,53,55,106,116,6,0,0,0,,,,869,0,,,,0,869,0,0,0,0,0,0,0,,,27.8,27.3,28.6,,,869,,,,112546.0255,54.53440891,7002.498609,3.393075152,,,591624.3333,,,0.019015144,2.25818E-05
5,2.61635E+11,7.516025833,395,26,163,500200,1,261635002001.00,Block Group 1,G5030,S,243420,0,42.4481987,-82.959887,5,265,0,0,0,0,25,27,47,45,33,8,48,5,0,27,0,0,2.61635E+11,,493,38,0,0,0,0,0,0,0,0,0,0,0,0,14,0,120,0,36,125,99,34,27,0,0,,,,681,0,,,,142,539,0,0,0,0,0,0,0,,,28.8,28.7,29.1,,,681,,,,70014.0855,28.762877,3599.999706,1.47893596,,,12192292.71,,,0.022005737,2.6637E-05
6,2.61635E+11,7.516025833,396,26,163,500200,2,261635002002.00,Block Group 2,G5030,S,243113,0,42.4445962,-82.959735,6,217,0,0,0,5,28,19,0,0,0,51,29,38,7,18,16,6,2.61635E+11,,429,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,125,26,115,43,38,68,0,0,0,,,,596,0,,,,33,563,0,0,0,0,0,0,0,,,30.7,30.4,33.4,,,596,,,,148012.5169,60.88209865,1152.691075,0.474137277,,,614120.9375,,,0.02195181,2.66021E-05
7,2.61635E+11,7.516025833,397,26,163,500200,3,261635002003.00,Block Group 3,G5030,S,211543,0,42.4439389,-82.9676482,7,238,0,0,0,12,27,13,28,63,44,14,20,17,0,0,0,0,2.61635E+11,,437,9,0,0,0,0,0,0,0,0,0,0,8,0,0,0,198,13,60,46,97,6,0,0,0,,,,660,19,,,,19,660,0,0,0,0,0,0,0,,,29.7,30.1,28,,,679,,,,56585.55494,26.74901591,1476.344266,0.697894654,,,3740030.478,,,0.023060762,2.31473E-05
8,2.61635E+11,7.516025833,398,26,163,500200,4,261635002004.00,Block Group 4,G5030,S,241702,0,42.4474175,-82.9665867,8,368,0,0,0,25,18,0,52,34,0,73,47,105,0,0,14,0,2.61635E+11,,584,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,131,0,47,179,100,87,0,0,0,,,,878,0,,,,0,878,0,0,0,0,0,0,0,,,31.9,27.4,36.8,,,878,,,,32798.4639,13.56964741,,,,,11073821.36,,,0.021773059,2.64491E-05
9,2.61635E+11,7.516025833,399,26,163,500300,1,261635003001.00,Block Group 1,G5030,S,405286,0,42.4403505,-82.9611613,9,230,0,23,9,13,30,24,8,18,26,19,54,6,0,0,0,0,2.61635E+11,,335,0,0,0,0,0,0,0,0,0,5,2,0,0,7,15,128,22,25,107,7,17,0,0,0,,,,598,0,,,,26,566,0,0,0,0,6,0,6,,,25.8,26.8,25.5,,,598,,,,121641.1723,30.01368083,17137.74492,4.228558442,,,1672399.323,,,0.032237883,4.43445E-05
10,2.61635E+11,7.516025833,377,26,163,500300,2,261635003002.00,Block Group 2,G5030,S,321801,0,42.436297,-82.9654805,10,248,0,18,8,5,52,20,51,51,4,29,3,3,0,0,0,4,2.61635E+11,,378,11,0,0,0,0,0,0,5,0,0,0,0,8,26,3,128,35,24,70,62,4,2,0,0,,,,531,0,,,,11,488,0,21,0,0,11,0,11,,,28.2,32.6,25.8,,,531,,,,130562.1773,40.57223055,7452.699911,2.315928435,,,4202926.281,,,0.03701731,3.52082E-05
11,2.61635E+11,7.516025833,400,26,163,500300,3,261635003003.00,Block Group 3,G5030,S,312836,0,42.4372745,-82.9720367,11,146,4,0,14,0,0,23,43,12,0,31,19,0,0,0,0,0,2.61635E+11,,242,9,0,0,0,0,0,0,0,0,4,0,0,19,13,0,46,1,59,55,30,0,6,0,0,,,,387,1,,,,3,374,0,0,0,0,11,0,11,,,29.1,30.4,22.7,,,388,,,,121755.002,38.91955913,2322.315021,0.742338921,,,5072130.538,,,0.030489805,3.42275E-05
12,2.61635E+11,7.516025833,119,26,163,500300,4,261635003004.00,Block Group 4,G5030,S,244755,0,42.4408702,-82.9698157,12,187,22,7,25,15,30,0,20,24,18,7,10,0,0,0,0,9,2.61635E+11,,259,8,0,0,0,0,0,0,0,0,0,17,0,0,0,0,116,17,9,61,9,5,17,0,0,,,,378,5,,,,61,322,0,0,0,0,0,0,0,,,34,40.2,33.3,,,383,,,,125536.3163,51.29088545,5471.333537,2.235445088,,,3231064.037,,,0.023633338,2.678E-05
13,2.61635E+11,7.516025833,401,26,163,500400,1,261635004001.00,Block Group 1,G5030,S,128170,0,42.4329846,-82.9771457,13,86,12,0,0,11,0,28,11,0,14,10,0,0,0,0,0,0,2.61635E+11,,119,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,44,19,22,32,0,0,0,0,0,,,,194,6,,,,21,157,0,0,0,0,22,0,22,,,30.1,31.7,29.8,,,200,,,,20470.83044,15.9716983,,,,,4851877.882,,,0.015719332,1.40221E-05
14,2.61635E+11,7.516025833,402,26,163,500400,2,261635004002.00,Block Group 2,G5030,S,142367,0,42.429858,-82.9777723,14,54,7,0,5,0,0,11,0,0,0,24,0,7,0,0,0,0,2.61635E+11,,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,36,0,0,7,7,0,0,0,,,,146,0,,,,0,146,0,0,0,0,0,0,0,,,37.5,45,37,,,146,,,,38707.30227,27.18838641,,,,,2573429.615,,,0.018837301,1.55746E-05
15,2.61635E+11,7.516025833,838,26,163,500400,3,261635004003.00,Block Group 3,G5030,S,319631,0,42.4241944,-82.9773914,15,128,14,19,26,15,0,7,8,0,0,12,19,8,0,0,0,0,2.61635E+11,,254,7,0,0,0,0,0,0,3,0,0,5,0,3,0,26,90,27,14,46,19,14,0,0,0,,,,383,0,,,,0,383,0,0,0,0,0,0,0,,,29.7,31.8,29.4,,,383,,,,111145.7079,34.77288274,6254.43993,1.956754879,,,1448908.2,,,0.024093497,3.49639E-05
16,2.61635E+11,7.516025833,840,26,163,500400,4,261635004004.00,Block Group 4,G5030,S,397710,0,42.4242062,-82.9821712,16,107,15,4,10,20,0,16,19,0,0,0,10,13,0,0,0,0,2.61635E+11,,183,0,0,0,0,0,0,0,0,0,0,0,0,13,0,28,93,19,0,7,18,1,4,0,0,,,,323,0,,,,6,317,0,0,0,0,0,0,0,,,32,36.2,30.6,,,323,,,,129779.5045,32.63167775,9977.593886,2.508759991,,,3809695.838,,,0.033557329,4.35045E-05
17,2.61635E+11,7.516025833,403,26,163,500500,1,261635005001.00,Block Group 1,G5030,S,293347,0,42.424154,-82.9635139,17,242,10,0,5,0,0,27,18,16,35,74,50,4,0,0,0,3,2.61635E+11,,410,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,92,0,64,95,97,31,13,3,0,,,,665,7,,,,11,661,0,0,0,0,0,0,0,,,30.3,30.2,30.5,,,672,,,,62289.08854,21.23391382,899.9995852,0.306803552,,,4213960.923,,,0.027058526,3.20885E-05
18,2.61635E+11,7.516025833,405,26,163,500500,2,261635005002.00,Block Group 2,G5030,S,161709,0,42.421908,-82.9712017,18,88,13,0,10,0,0,4,32,17,0,12,0,0,0,0,0,0,2.61635E+11,,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50,14,0,38,4,0,0,0,0,,,,280,0,,,,0,280,0,0,0,0,0,0,0,,,24.1,23.1,24.8,,,280,,,,80833.53618,49.98696628,900.0001413,0.556554604,,,1535952,,,0.019470246,1.76883E-05
19,2.61635E+11,7.516025833,190,26,163,500500,3,261635005003.00,Block Group 3,G5030,S,179054,0,42.4251577,-82.9676466,19,101,15,3,0,5,10,12,35,0,9,0,12,0,0,0,0,0,2.61635E+11,,155,0,0,0,0,0,0,0,5,0,0,0,0,0,6,15,39,0,22,51,17,0,0,0,0,,,,217,0,,,,0,217,0,0,0,0,0,0,0,,,28,27.2,36.2,,,217,,,,81111.72279,45.30085419,900.0008099,0.502649975,,,1754559.333,,,0.017799078,1.95863E-05
20,2.61635E+11,7.516025833,406,26,163,500500,4,261635005004.00,Block Group 4,G5030,S,179217,0,42.4250879,-82.9725502,20,75,6,0,10,0,4,19,0,23,0,0,0,13,0,0,0,0,2.61635E+11,,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,22,42,9,12,0,0,0,,,,120,0,,,,16,104,0,0,0,0,0,0,0,,,58.4,45.9,59.7,,,120,,,,94316.92631,52.62709829,5976.349881,3.334692561,,,1012592.067,,,0.017805868,1.96044E-05
21,2.61635E+11,7.516025833,407,26,163,500600,1,261635006001.00,Block Group 1,G5030,S,385254,0,42.4324215,-82.957697,21,356,7,20,0,7,33,28,26,3,0,79,92,51,10,0,0,0,2.61635E+11,,635,15,0,0,0,0,0,0,0,0,0,0,15,23,33,0,87,103,49,82,146,74,8,0,0,,,,918,0,,,,0,918,0,0,0,0,0,0,0,,,30.2,32.2,28.7,,,918,,,,122607.9761,31.82515459,8394.83752,2.179034434,,,5366312.447,,,0.032986584,4.21475E-05
22,2.61635E+11,7.516025833,404,26,163,500600,2,261635006002.00,Block Group 2,G5030,S,244385,0,42.4290261,-82.9641147,22,189,10,0,0,43,7,50,0,0,0,0,26,0,48,0,5,0,2.61635E+11,,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,136,10,15,90,47,0,7,0,0,,,,593,0,,,,0,593,0,0,0,0,0,0,0,,,25.9,38.7,25.4,,,593,,,,101018.8128,41.33566401,3431.347841,1.404065614,,,1932588.522,,,0.021902803,2.67349E-05
23,2.61635E+11,7.516025833,408,26,163,500600,3,261635006003.00,Block Group 3,G5030,S,238506,0,42.4288762,-82.9714336,23,135,0,0,10,0,3,0,52,0,47,23,0,0,0,0,0,0,2.61635E+11,,240,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,101,0,0,68,58,10,0,0,0,,,,416,0,,,,4,409,0,0,0,0,3,0,3,,,29,25.5,29,,,416,,,,119065.7252,49.92127534,5400.00247,2.264085737,,,1266019.118,,,0.021826074,2.60916E-05
24,2.61635E+11,7.516025833,409,26,163,500600,4,261635006004.00,Block Group 4,G5030,S,206561,0,42.432963,-82.9628984,24,173,10,13,11,0,0,0,16,24,5,31,33,30,0,0,0,0,2.61635E+11,,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,50,6,45,5,124,27,0,0,0,,,,380,0,,,,0,380,0,0,0,0,0,0,0,,,29.7,39.3,29.5,,,380,,,,65098.79376,31.5155185,4176.349339,2.021847215,,,3255641.632,,,0.019841236,2.25983E-05
25,2.61635E+11,7.516025833,842,26,163,500600,5,261635006005.00,Block Group 5,G5030,S,411229,0,42.4329825,-82.9703305,25,138,7,0,27,0,0,8,96,0,0,0,0,0,0,0,0,0,2.61635E+11,,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,27,41,0,0,0,0,0,0,,,,584,0,,,,0,584,0,0,0,0,0,0,0,,,18.4,11.9,24.9,,,584,,,,85353.87467,20.75565346,9576.350124,2.328698086,,,3475000.32,,,0.028788104,4.49899E-05
26,2.61635E+11,7.516025833,410,26,163,500700,1,261635007001.00,Block Group 1,G5030,S,252991,0,42.4272318,-82.9415531,26,314,59,41,23,0,22,8,34,0,59,0,32,8,18,0,10,0,2.61635E+11,,636,0,0,0,0,0,0,0,0,33,0,25,0,0,76,0,291,12,22,77,8,74,0,0,18,,,,1386,0,,,,35,1351,0,0,0,0,0,0,0,,,21.4,13.3,27,,,1386,,,,99511.9546,39.33403236,,,,,4794508,,,0.024036703,2.76755E-05
27,2.61635E+11,7.516025833,411,26,163,500700,2,261635007002.00,Block Group 2,G5030,S,265431,0,42.4285176,-82.9446483,27,296,56,8,0,29,21,20,28,16,0,21,50,10,37,0,0,0,2.61635E+11,,511,8,0,0,0,0,0,0,0,0,0,0,0,21,31,0,242,32,27,36,79,35,0,0,0,,,,998,0,,,,31,798,102,0,0,0,67,0,67,,,28.5,18.5,31.3,,,998,,,,88619.43506,33.38717978,1539.460152,0.57998827,,,4604648.667,,,0.02438822,2.90366E-05
28,2.61635E+11,7.516025833,555,26,163,500700,3,261635007003.00,Block Group 3,G5030,S,353127,0,42.4300218,-82.9483651,28,386,73,31,24,22,29,32,32,59,9,28,32,0,15,0,0,0,2.61635E+11,,614,0,0,0,0,0,0,0,0,0,0,0,37,87,50,0,258,35,17,73,24,33,0,0,0,,,,956,0,,,,11,945,0,0,0,0,0,0,0,,,31.3,29.7,37.7,,,956,,,,201014.1871,56.92392127,3576.735562,1.012872855,,,4313903,,,0.026645046,3.86313E-05
29,2.61635E+11,7.516025833,129,26,163,500700,4,261635007004.00,Block Group 4,G5030,S,348074,0,42.4317686,-82.9525431,29,331,45,0,31,0,0,16,0,31,21,42,59,68,10,8,0,0,2.61635E+11,,858,0,0,0,0,0,0,0,0,0,0,18,29,105,58,81,233,129,10,108,0,87,0,0,0,,,,1268,0,,,,70,1198,0,0,0,0,0,0,0,,,33.5,33.9,30.8,,,1268,,,,137103.1517,39.38939623,4792.547538,1.376887049,,,6514934.647,,,0.02747807,3.80792E-05
30,2.61635E+11,7.516025833,761,26,163,500800,1,261635008001.00,Block Group 1,G5030,S,487659,0,42.4240044,-82.9332172,30,564,48,82,17,52,43,18,30,44,7,78,29,38,72,0,6,0,2.61635E+11,,926,6,0,0,0,0,0,0,0,0,0,15,14,10,60,30,257,129,12,239,80,57,17,0,0,,,,1608,10,,,,133,1466,0,0,0,0,19,9,10,,,29.8,23.1,34.5,,,1618,,,,180094.7534,36.93045697,14364.38786,2.945579468,,,23010076.29,,,0.031710453,5.33436E-05
31,2.61635E+11,7.516025833,413,26,163,500800,2,261635008002.00,Block Group 2,G5030,S,317284,0,42.4256592,-82.9382376,31,522,74,75,47,31,63,22,18,7,0,9,103,30,19,24,0,0,2.61635E+11,,929,18,0,0,0,0,0,0,0,0,0,0,13,29,62,12,325,34,69,178,123,35,31,0,0,,,,1561,0,,,,86,1378,22,34,0,7,34,0,34,,,29.1,26,33.4,,,1561,,,,118560.1268,37.3671877,3852.700722,1.214274942,,,4492387.769,,,0.026294288,3.47077E-05
32,2.61635E+11,7.516025833,759,26,163,500900,1,261635009001.00,Block Group 1,G5030,S,347872,0,42.4192184,-82.9396155,32,534,159,27,42,57,8,42,54,15,0,40,33,22,35,0,0,0,2.61635E+11,,1052,0,10,0,0,0,0,0,0,0,0,0,8,17,195,33,403,48,130,183,8,17,0,0,0,,,,1635,0,,,,53,1546,0,0,0,0,36,0,36,,,32.8,33.4,32.3,,,1635,,,,96196.96699,27.65305003,2416.196717,0.694566687,,,24840101.17,,,0.026461193,3.80498E-05
33,2.61635E+11,7.516025833,414,26,163,500900,2,261635009002.00,Block Group 2,G5030,S,274781,0,42.4215399,-82.9457549,33,295,51,17,0,17,18,63,6,0,26,52,10,16,19,0,0,0,2.61635E+11,,533,0,0,0,0,0,0,0,0,0,0,0,32,14,45,0,106,98,25,128,58,17,10,0,0,,,,774,25,,,,6,784,9,0,0,0,0,0,0,,,40.4,32.7,40.9,,,799,,,,79142.63172,28.80200339,2163.591766,0.787385711,,,1785862.929,,,0.022373418,3.00564E-05
34,2.61635E+11,7.516025833,415,26,163,500900,3,261635009003.00,Block Group 3,G5030,S,220834,0,42.423493,-82.9505191,34,225,26,0,40,0,0,37,12,0,0,48,8,10,9,35,0,0,2.61635E+11,,415,10,0,0,0,0,0,0,0,0,0,0,0,20,51,0,93,10,8,168,46,9,0,0,0,,,,667,0,,,,21,646,0,0,0,0,0,0,0,,,41.1,34.6,42.7,,,667,,,,112907.3913,51.12751294,1476.344086,0.668528433,,,1572289.667,,,0.020046499,2.41563E-05
35,2.61635E+11,7.516025833,416,26,163,500900,4,261635009004.00,Block Group 4,G5030,S,322754,0,42.4256494,-82.9557494,35,154,31,22,12,28,11,0,0,0,0,11,0,18,21,0,0,0,2.61635E+11,,305,0,0,0,0,0,0,0,0,0,0,12,13,44,44,9,36,38,37,21,0,42,9,0,0,,,,449,0,,,,55,394,0,0,0,0,0,0,0,,,37.7,37.2,41.4,,,449,,,,76141.094,23.59108856,2700.003021,0.83655234,,,3273515.818,,,0.02432951,3.53061E-05
36,2.61635E+11,7.516025833,417,26,163,501000,1,261635010001.00,Block Group 1,G5030,S,313912,0,42.4189013,-82.9520536,36,317,63,0,14,33,0,21,80,0,0,17,14,16,0,33,26,0,2.61635E+11,,559,1,0,0,0,0,0,0,0,0,0,8,0,0,30,60,208,49,33,99,20,26,25,0,0,,,,832,0,,,,0,832,0,0,0,0,0,0,0,,,38.3,33.8,46.3,,,832,,,,100626.7458,32.05567252,576.3502344,0.183602225,,,1891956.111,,,0.024787025,3.43352E-05
37,2.61635E+11,7.516025833,776,26,163,501000,2,261635010002.00,Block Group 2,G5030,S,312030,0,42.4160082,-82.9448317,37,248,72,36,0,0,32,0,6,20,3,0,53,26,0,0,0,0,2.61635E+11,,342,10,0,0,0,0,0,0,0,0,0,0,0,0,37,9,126,15,0,87,58,0,0,0,0,,,,423,0,,,,32,391,0,0,0,0,0,0,0,,,51,52.3,50.4,,,423,,,,97703.79891,31.31233862,465.4518475,0.149169081,,,23168680,,,0.025167356,3.41278E-05
38,2.61635E+11,7.516025833,660,26,163,501000,3,261635010003.00,Block Group 3,G5030,S,270075,0,42.4216675,-82.9587746,38,413,57,29,0,17,39,41,48,0,12,69,20,81,0,0,0,0,2.61635E+11,,842,0,0,0,0,0,0,0,0,10,0,0,0,49,119,51,279,38,42,230,24,0,0,0,0,,,,1839,0,,,,16,1813,0,0,0,0,10,0,10,,,22.5,25.4,20.5,,,1839,,,,107512.606,39.80864057,900.0013802,0.333243075,,,3480533.591,,,0.023058532,2.95415E-05
39,2.61635E+11,7.516025833,418,26,163,501100,1,261635011001.00,Block Group 1,G5030,S,236772,0,42.4157893,-82.9562981,39,141,25,0,9,0,8,30,23,0,0,28,18,0,0,0,0,0,2.61635E+11,,260,9,0,0,0,0,0,0,0,0,0,0,0,8,40,36,50,0,52,36,5,9,15,0,0,,,,386,0,,,,0,386,0,0,0,0,0,0,0,,,43.1,48.5,43.1,,,386,,,,97173.18236,41.04079514,616.1983578,0.260249484,,,1416443.471,,,0.020752357,2.58965E-05
40,2.61635E+11,7.516025833,419,26,163,501100,2,261635011002.00,Block Group 2,G5030,S,231987,0,42.4116596,-82.9588089,40,218,54,33,10,5,10,0,0,36,29,0,0,41,0,0,0,0,2.61635E+11,,356,0,0,0,0,0,0,0,0,0,0,0,0,16,9,55,144,0,0,86,33,0,13,0,0,,,,514,0,,,,0,514,0,0,0,0,0,0,0,,,43.6,38.5,44.6,,,514,,,,77540.91622,33.42443871,899.9998927,0.387949907,,,1228773.636,,,0.021560267,2.53717E-05
41,2.61635E+11,7.516025833,777,26,163,501100,3,261635011003.00,Block Group 3,G5030,S,268176,0,42.4067542,-82.9608442,41,130,31,29,0,28,0,0,0,0,14,0,14,0,0,0,14,0,2.61635E+11,,204,0,0,0,0,0,0,0,0,0,0,9,10,0,19,0,104,1,1,28,19,0,13,0,0,,,,317,2,,,,2,290,0,0,0,13,14,0,14,,,46.4,46.5,46.2,,,319,,,,37926.41739,14.14233856,3276.083069,1.221614882,,,29400304.25,,,0.024675908,2.93271E-05
42,2.61635E+11,7.516025833,420,26,163,501100,4,261635011004.00,Block Group 4,G5030,S,249739,0,42.412432,-82.9628973,42,359,32,47,100,0,71,15,0,0,26,38,8,22,0,0,0,0,2.61635E+11,,584,0,0,0,0,0,0,0,0,0,0,11,14,33,37,9,146,141,95,71,12,0,0,15,0,,,,919,76,,,,61,934,0,0,0,0,0,0,0,,,27.7,26.4,31.7,,,995,,,,82521.88126,33.04325239,7182.888286,2.876158262,,,3195289.111,,,0.023365086,2.73133E-05
43,2.61635E+11,7.516025833,689,26,163,501100,5,261635011005.00,Block Group 5,G5030,S,248840,0,42.4180613,-82.9616162,43,231,82,0,0,12,25,19,29,30,12,0,0,22,0,0,0,0,2.61635E+11,,303,0,0,0,0,0,0,0,0,0,0,59,0,0,27,27,112,0,12,66,0,0,0,0,0,,,,615,57,,,,0,672,0,0,0,0,0,0,0,,,22.1,17.7,38.1,,,672,,,,131861.22,52.99039276,,,,,3610421.565,,,0.020676363,2.72174E-05
44,2.61635E+11,7.516025833,625,26,163,501200,1,261635012001.00,Block Group 1,G5030,S,440121,0,42.4104936,-82.9507049,44,330,82,32,23,37,5,31,30,8,20,9,25,28,0,0,0,0,2.61635E+11,,541,9,0,0,0,0,0,0,0,11,4,0,0,26,63,18,221,6,86,75,22,0,0,0,0,,,,968,0,,,,5,963,0,0,0,0,0,0,0,,,27.3,26.5,29,,,968,,,,121651.1843,27.640249,6229.039373,1.415294066,,,26762712.3,,,0.036616734,4.81336E-05
45,2.61635E+11,7.516025833,498,26,163,501200,2,261635012002.00,Block Group 2,G5030,S,247399,0,42.4131177,-82.952388,45,222,3,13,42,19,12,23,10,31,13,10,21,20,0,0,0,5,2.61635E+11,,472,9,0,4,0,0,0,0,0,0,0,0,0,34,57,17,89,108,5,94,33,6,11,0,5,,,,680,0,,,,16,639,0,0,0,0,25,0,25,,,36.1,41.5,34.7,,,680,,,,79298.97699,32.0529281,1800.001175,0.727566867,,,1422954.095,,,0.021809383,2.70578E-05
46,2.61635E+11,7.516025833,423,26,163,501300,1,261635013001.00,Block Group 1,G5030,S,206355,0,42.4040989,-82.954709,46,132,8,0,43,0,36,0,11,0,0,0,0,6,28,0,0,0,2.61635E+11,,298,32,0,0,0,0,0,0,0,0,0,0,0,0,42,16,58,21,14,48,17,46,4,0,0,,,,487,10,,,,0,489,0,0,0,0,8,0,8,,,34.7,35.6,34.5,,,497,,,,46526.28723,22.54647611,6876.341237,3.33225092,,,24446082.04,,,0.024139347,2.25658E-05
47,2.61635E+11,7.516025833,126,26,163,501300,2,261635013002.00,Block Group 2,G5030,S,219093,0,42.400466,-82.9507323,47,91,0,0,0,0,9,0,47,10,0,0,0,0,0,25,0,0,2.61635E+11,,227,0,0,0,0,0,0,0,0,0,6,0,0,34,34,0,56,9,10,50,0,23,5,0,0,,,,273,6,,,,6,273,0,0,0,0,0,0,0,,,50.4,43.9,50.4,,,279,,,,66594.49914,30.39549685,6695.736185,3.056111702,,,1402732.35,,,0.020344422,2.39571E-05
48,2.61635E+11,7.516025833,421,26,163,501300,3,261635013003.00,Block Group 3,G5030,S,217326,0,42.4025928,-82.9449283,48,255,79,22,0,0,0,14,22,25,14,5,30,44,0,0,0,0,2.61635E+11,,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,114,39,63,72,41,23,0,0,0,,,,680,0,,,,32,648,0,0,0,0,0,0,0,,,29.2,37.3,29.1,,,680,,,,60143.4719,27.67415868,,,,,1369193.909,,,0.02023547,2.37648E-05
49,2.61635E+11,7.516025833,422,26,163,501300,4,261635013004.00,Block Group 4,G5030,S,195396,0,42.4012459,-82.9562794,49,109,0,9,0,0,25,7,0,24,0,44,0,0,0,0,0,0,2.61635E+11,,208,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,65,9,15,94,11,0,0,0,0,,,,244,0,,,,0,244,0,0,0,0,0,0,0,,,49,43.8,81.1,,,244,,,,39576.97757,20.25477992,4500.001232,2.303019083,,,10354195.55,,,0.023274344,2.13661E-05
50,2.61635E+11,7.516025833,756,26,163,501300,5,261635013005.00,Block Group 5,G5030,S,397189,0,42.4060603,-82.9485349,50,430,65,38,94,45,40,0,22,10,12,10,78,9,7,0,0,0,2.61635E+11,,641,0,0,0,0,0,0,0,0,0,0,0,8,75,61,0,106,116,50,123,33,26,21,0,22,,,,1311,0,,,,20,1280,0,0,10,0,1,0,1,,,24.8,23.4,31.4,,,1311,,,,44750.31489,11.2667439,,,,,18869042.56,,,0.027779133,4.34352E-05
51,2.61635E+11,7.516025833,557,26,163,501400,1,261635014001.00,Block Group 1,G5030,S,252451,0,42.4081933,-82.9407718,51,272,44,31,0,9,0,20,9,31,10,25,23,29,32,9,0,0,2.61635E+11,,544,0,0,0,0,0,0,0,0,0,9,1,9,0,0,21,85,42,24,144,110,19,69,0,11,,,,760,1,,,,262,499,0,0,0,0,0,0,0,,,41.8,36.5,43.9,,,761,,,,61075.46701,24.1931402,900.0026154,0.356507949,,,1635245.577,,,0.022340029,2.76079E-05
